family,method_a,method_b,wins_a,ties,losses_a,win_rate_a,loss_rate_a,mean_difference,n_pairs
communication_mesh_8_3,qaoa_tuned,goemans_williamson,0,0,7,0.0,1.0,-0.21715081255223326,7
communication_mesh_8_3,qaoa_tuned,greedy,0,0,7,0.0,1.0,-0.16783094856405847,7
communication_mesh_8_3,qaoa_tuned,hill_climb_budget_matched,0,0,7,0.0,1.0,-0.21342216941934739,7
communication_mesh_8_3,qaoa_tuned,local_search,0,0,7,0.0,1.0,-0.20797921632525945,7
communication_mesh_8_3,qaoa_tuned,random_budget_matched,0,0,7,0.0,1.0,-0.15555436405715256,7
communication_mesh_8_3,qaoa_tuned,random_cut,0,0,7,0.0,1.0,-0.16873998887789393,7
d_regular_8_3,qaoa_tuned,goemans_williamson,0,0,7,0.0,1.0,-0.13683011243004023,7
d_regular_8_3,qaoa_tuned,greedy,1,0,6,0.14285714285714285,0.8571428571428571,-0.07968725528718311,7
d_regular_8_3,qaoa_tuned,hill_climb_budget_matched,0,0,7,0.0,1.0,-0.13683011243004023,7
d_regular_8_3,qaoa_tuned,local_search,0,0,7,0.0,1.0,-0.10825868385861168,7
d_regular_8_3,qaoa_tuned,random_budget_matched,1,0,6,0.14285714285714285,0.8571428571428571,-0.06540154100146882,7
d_regular_8_3,qaoa_tuned,random_cut,2,0,5,0.2857142857142857,0.7142857142857143,-0.06540154100146882,7
erdos_renyi_8_0.5,qaoa_tuned,goemans_williamson,0,0,7,0.0,1.0,-0.16594655626708965,7
erdos_renyi_8_0.5,qaoa_tuned,greedy,0,0,7,0.0,1.0,-0.1480894134099468,7
erdos_renyi_8_0.5,qaoa_tuned,hill_climb_budget_matched,0,0,7,0.0,1.0,-0.16594655626708965,7
erdos_renyi_8_0.5,qaoa_tuned,local_search,0,0,7,0.0,1.0,-0.10782967315020654,7
erdos_renyi_8_0.5,qaoa_tuned,random_budget_matched,0,0,7,0.0,1.0,-0.12411338943392282,7
erdos_renyi_8_0.5,qaoa_tuned,random_cut,0,0,7,0.0,1.0,-0.1480894134099468,7
