family,method_a,method_b,mean_difference,median_difference,std_difference,cohen_d,probability_a_better,ci_lower,ci_upper,p_value,n_pairs,p_value_holm
communication_mesh_8_3,qaoa_tuned,goemans_williamson,-0.21715081255223326,-0.16578938051524283,0.08833114128799884,-2.45837209149404,0.0,-0.28535467501967976,-0.15280069191719228,0.0145,7,0.261
communication_mesh_8_3,qaoa_tuned,greedy,-0.16783094856405847,-0.13817225424697344,0.07457243160465199,-2.2505763182541685,0.0,-0.23078817249367864,-0.11883041038655529,0.0145,7,0.261
communication_mesh_8_3,qaoa_tuned,hill_climb_budget_matched,-0.21342216941934739,-0.16578938051524283,0.09113255444242788,-2.3418872731607103,0.0,-0.2829701569925849,-0.1478477913636225,0.0145,7,0.261
communication_mesh_8_3,qaoa_tuned,local_search,-0.20797921632525948,-0.16578938051524283,0.08510245606713643,-2.443868554876805,0.0,-0.2768941796261224,-0.1473890341454112,0.0145,7,0.261
communication_mesh_8_3,qaoa_tuned,random_budget_matched,-0.15555436405715256,-0.12343120345194769,0.06871190591955148,-2.2638633287115777,0.0,-0.21010800730515625,-0.10782735418122803,0.0145,7,0.261
communication_mesh_8_3,qaoa_tuned,random_cut,-0.16873998887789393,-0.13817225424697344,0.09694244948648174,-1.7406202316089,0.0,-0.2422625396010632,-0.10280141510407995,0.0145,7,0.261
d_regular_8_3,qaoa_tuned,goemans_williamson,-0.13683011243004023,-0.12222359732153676,0.040125918864376754,-3.4100181703631,0.0,-0.1679575430492789,-0.10686644868280681,0.0145,7,0.261
d_regular_8_3,qaoa_tuned,greedy,-0.07968725528718311,-0.10128474028030576,0.08158573992809989,-0.9767301903176966,0.14285714285714285,-0.1343633305566985,-0.01694241150853087,0.0425,7,0.261
d_regular_8_3,qaoa_tuned,hill_climb_budget_matched,-0.13683011243004023,-0.12222359732153676,0.040125918864376754,-3.4100181703631,0.0,-0.1679575430492789,-0.10686644868280681,0.0145,7,0.261
d_regular_8_3,qaoa_tuned,local_search,-0.10825868385861168,-0.11888106161415801,0.05055955726632084,-2.1412110728810885,0.0,-0.1426161688224058,-0.0702658151611717,0.0145,7,0.261
d_regular_8_3,qaoa_tuned,random_budget_matched,-0.06540154100146882,-0.06949716878922596,0.05718335143610682,-1.1437164726965068,0.14285714285714285,-0.10973269605250364,-0.021387151501074873,0.055,7,0.261
d_regular_8_3,qaoa_tuned,random_cut,-0.06540154100146882,-0.08089642728258661,0.08152672795179568,-0.802209810752356,0.2857142857142857,-0.1278879873870915,-0.006321131666966412,0.1095,7,0.261
erdos_renyi_8_0.5,qaoa_tuned,goemans_williamson,-0.16594655626708965,-0.1657739838139919,0.042982763525185284,-3.8607698216019792,0.0,-0.20016868402937538,-0.13510033534318025,0.0145,7,0.261
erdos_renyi_8_0.5,qaoa_tuned,greedy,-0.1480894134099468,-0.16123295608804755,0.06030242511614728,-2.4557787373346063,0.0,-0.19289804247481765,-0.10569557441529835,0.0145,7,0.261
erdos_renyi_8_0.5,qaoa_tuned,hill_climb_budget_matched,-0.16594655626708965,-0.1657739838139919,0.042982763525185284,-3.8607698216019792,0.0,-0.20016868402937538,-0.13510033534318025,0.0145,7,0.261
erdos_renyi_8_0.5,qaoa_tuned,local_search,-0.10782967315020654,-0.0994415574885601,0.0717596464450037,-1.5026505632639475,0.0,-0.16497765666846056,-0.05841376507989889,0.0145,7,0.261
erdos_renyi_8_0.5,qaoa_tuned,random_budget_matched,-0.12411338943392282,-0.1251912570470637,0.04291508002821437,-2.892069392677933,0.0,-0.15318308444379683,-0.0880300773574735,0.0145,7,0.261
erdos_renyi_8_0.5,qaoa_tuned,random_cut,-0.1480894134099468,-0.16123295608804755,0.06137545574804961,-2.412844216063565,0.0,-0.19521683504438941,-0.09987849124057283,0.0145,7,0.261
